element,web_name,team,position,gw_from_fixture,total_points_6gw,minutes_6gw,personas,flags,persona_count,starts_last6
661,Ekitiké,LIV,FWD,38,0.0,0.0,None,Minutes Risk,0,0
662,Mosquera,ARS,DEF,38,11.0,305.0,None,Minutes Risk,0,3
663,J.Arias,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
664,Lecomte,FUL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
665,Perri,LEE,GKP,38,0.0,0.0,None,Minutes Risk,0,0
666,Gyökeres,ARS,FWD,38,22.0,239.0,None,Minutes Risk,0,2
667,Aznou,EVE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
668,Xhaka,SUN,MID,38,20.0,540.0,"Creative Wizard, Bonus Magnet, Set Piece Threat",Minutes Monster,3,6
669,Ndoye,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
670,Roefs,SUN,GKP,38,15.0,540.0,Liability,Minutes Monster,1,6
671,Wilson,WHU,FWD,38,14.0,189.0,None,Minutes Risk,0,1
672,Hato,CHE,DEF,38,6.0,411.0,None,,0,5
673,J.Palhinha,TOT,MID,38,31.0,389.0,None,Minutes Risk,0,4
674,Ramsdale,NEW,GKP,38,1.0,90.0,None,Minutes Risk,0,1
675,Gunn,NFO,GKP,38,0.0,0.0,None,Minutes Risk,0,0
676,Ugochukwu,BUR,MID,38,11.0,297.0,None,Minutes Risk,0,4
677,Guessand,CRY,MID,38,2.0,29.0,None,Minutes Risk,0,0
678,Masuaku,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
679,Hermansen,WHU,GKP,38,24.0,540.0,Bonus Magnet,Minutes Monster,1,6
680,Broja,BUR,FWD,38,3.0,28.0,None,Minutes Risk,0,0
681,Šeško,MUN,FWD,38,15.0,211.0,None,Minutes Risk,0,3
682,Møller Wolfe,WOL,DEF,38,6.0,203.0,None,Minutes Risk,0,2
683,Alderete,SUN,DEF,38,14.0,354.0,Budget Enabler,,1,5
684,Thiaw,NEW,DEF,38,10.0,540.0,"Scoring Defender, Emerging Contributor",Minutes Monster,2,6
685,Diakité,BOU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
686,Ngumoha,LIV,MID,38,12.0,261.0,None,Minutes Risk,0,3
687,Rees-Dottin,BOU,MID,38,0.0,0.0,None,Minutes Risk,0,0
688,Wright,AVL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
689,Seung soo,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
690,Cardines,CRY,MID,38,2.0,90.0,None,Minutes Risk,0,1
691,Calvert-Lewin,LEE,FWD,38,30.0,518.0,"Goal Machine, Clinical Finisher, Captaincy King, Metronome, Bonus Magnet, Poacher",Minutes Monster,6,6
692,Leoni,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
693,Hutchinson,NFO,MID,38,17.0,335.0,None,Minutes Risk,0,4
694,Mukiele,SUN,DEF,38,22.0,540.0,None,Minutes Monster,0,6
695,Tchatchoua,WOL,DEF,38,1.0,49.0,None,Minutes Risk,0,1
696,Kalimuendo,NFO,FWD,38,0.0,0.0,None,Minutes Risk,0,0
697,Adli,BOU,MID,38,4.0,50.0,None,Minutes Risk,0,0
698,Okafor,LEE,MID,38,26.0,193.0,None,Minutes Risk,0,3
699,Douglas Luiz,AVL,MID,38,4.0,99.0,None,Minutes Risk,0,1
700,Dowman,ARS,MID,38,4.0,73.0,None,Minutes Risk,0,1
701,Rowe,AVL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
702,Burrowes,AVL,MID,38,0.0,0.0,None,Minutes Risk,0,0
703,Proctor,AVL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
704,Onyango,EVE,MID,38,0.0,0.0,None,Minutes Risk,0,0
705,Campbell,EVE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
706,Justin,LEE,DEF,38,32.0,540.0,"Scoring Defender, Defensive Workhorse, Budget Enabler, Bonus Magnet",Minutes Monster,4,6
707,Dibling,EVE,MID,38,0.0,0.0,None,Minutes Risk,0,0
708,M.Fernandes,WHU,MID,38,26.0,540.0,"Defensive Contributor, Captaincy King, Differential, Bonus Magnet",Minutes Monster,4,6
709,Krejčí,WOL,DEF,38,9.0,229.0,None,Minutes Risk,0,3
710,Patterson,AVL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
711,Harriman-Annous,ARS,MID,38,0.0,0.0,None,Minutes Risk,0,0
712,Yeremy,CRY,MID,38,8.0,225.0,None,Minutes Risk,0,3
713,A.Jimenez,BOU,DEF,38,8.0,270.0,None,Minutes Risk,0,3
714,Woltemade,NEW,FWD,38,14.0,230.0,None,Minutes Risk,0,3
715,John,NFO,GKP,38,0.0,0.0,None,Minutes Risk,0,0
716,Savona,NFO,DEF,38,0.0,0.0,None,Minutes Risk,0,0
717,Xavi,TOT,MID,38,14.0,152.0,None,Minutes Risk,0,2
718,S.Magassa,WHU,MID,38,1.0,2.0,None,Minutes Risk,0,0
719,Lindelöf,AVL,DEF,38,5.0,280.0,None,Minutes Risk,0,4
720,Tolu,WOL,FWD,38,6.0,152.0,None,Minutes Risk,0,1
721,Milosavljević,BOU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
722,Florentino,BUR,MID,38,17.0,368.0,None,Minutes Risk,0,4
723,Canvot,CRY,DEF,38,10.0,450.0,Defensive Workhorse,,1,5
724,Geertruida,SUN,DEF,38,9.0,270.0,None,Minutes Risk,0,3
725,Hincapie,ARS,DEF,38,13.0,288.0,None,Minutes Risk,0,3
726,Kolo Muani,TOT,FWD,38,8.0,342.0,None,,0,5
727,Chukwueze,FUL,MID,38,9.0,257.0,None,Minutes Risk,0,3
728,Röhl,EVE,MID,38,18.0,317.0,None,Minutes Risk,0,4
729,Cuiabano,NFO,DEF,38,0.0,0.0,None,Minutes Risk,0,0
730,Brobbey,SUN,FWD,38,19.0,470.0,"Goal Machine, Metronome",,2,6
731,Kevin,FUL,MID,38,6.0,132.0,None,Minutes Risk,0,1
732,Uche,CRY,FWD,38,0.0,0.0,None,Minutes Risk,0,0
733,Lammens,MUN,GKP,38,31.0,540.0,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3,6
734,Bakwa,NFO,MID,38,12.0,207.0,None,Minutes Risk,0,3
735,Traoré,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
736,Donnarumma,MCI,GKP,38,22.0,450.0,Overperformer,,1,5
737,Kusi-Asare,FUL,FWD,38,2.0,19.0,None,Minutes Risk,0,0
738,Fabianski,WHU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
739,Mukasa,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
740,Mfuni,MCI,DEF,38,0.0,0.0,None,Minutes Risk,0,0
741,Gray,LEE,FWD,38,0.0,0.0,None,Minutes Risk,0,0
742,McAidoo,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
743,Emenalo,CHE,MID,38,0.0,0.0,None,Minutes Risk,0,0
744,Oriola,BHA,MID,38,0.0,0.0,None,Minutes Risk,0,0
745,Byfield,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
746,Morrison,LIV,MID,38,0.0,0.0,None,Minutes Risk,0,0
747,Mayers,WHU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
748,Dasilva,BRE,MID,38,2.0,2.0,None,Minutes Risk,0,0
749,Mané,WOL,FWD,38,20.0,478.0,"Creative Wizard, Bonus Magnet, Volume Shooter, Set Piece Threat",,4,5
750,Rowswell,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
751,Akhamrich,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
752,Golambeckis,WHU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
753,Ruddy,NEW,GKP,38,0.0,0.0,None,Minutes Risk,0,0
754,George Hemmings,AVL,MID,38,0.0,0.0,None,Minutes Risk,0,0
755,Lacey,MUN,MID,38,1.0,28.0,None,Minutes Risk,0,0
756,DaCosta,BOU,MID,38,0.0,0.0,None,Minutes Risk,0,0
757,Hollingshead,AVL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
758,Mohamadou Kanté,WHU,MID,38,2.0,35.0,None,Minutes Risk,0,0
759,Salmon,ARS,DEF,38,0.0,0.0,None,Minutes Risk,0,0
760,Lucky,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
761,Simmonds,BHA,DEF,38,0.0,0.0,None,Minutes Risk,0,0
762,Drakes-Thomas,CRY,MID,38,0.0,0.0,None,Minutes Risk,0,0
763,Gray,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
764,Heskey,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
765,Shahar,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
766,Olagunju,WOL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
767,Rawlings,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
768,Leon Routh,AVL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
769,Bendito Mantato,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
770,Ridgeon,FUL,MID,38,0.0,0.0,None,Minutes Risk,0,0
771,Fletcher,MUN,MID,38,1.0,16.0,None,Minutes Risk,0,0
772,Alabi,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
773,Benamar,CRY,DEF,38,0.0,0.0,None,Minutes Risk,0,0
774,Jenson Jones,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
775,Tutierov,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
776,Pimlott,BUR,MID,38,0.0,0.0,None,Minutes Risk,0,0
777,Ojinnaka,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
778,Sutherland,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
779,Graham,EVE,FWD,38,0.0,0.0,None,Minutes Risk,0,0
780,Casey,CRY,FWD,38,0.0,0.0,None,Minutes Risk,0,0
781,Carroll,AVL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
782,Forster,BOU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
783,Groß,BHA,MID,38,29.0,540.0,"Creative Wizard, Captaincy King, Bonus Magnet, Set Piece Threat",Minutes Monster,4,6
784,Brierley,BUR,MID,38,0.0,0.0,None,Minutes Risk,0,0
785,Pablo,WHU,FWD,38,9.0,339.0,None,Minutes Risk,0,4
786,McNally,FUL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
787,Chambers,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
788,Kukonki,MUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
789,Merrick,CHE,GKP,38,0.0,0.0,None,Minutes Risk,0,0
790,Williams-Barnett,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
791,Taty,WHU,FWD,38,19.0,442.0,"Goal Machine, xGI Beast, Differential, Bonus Magnet, Poacher, Aerial Threat",,6,5
792,Alysson,AVL,MID,38,0.0,0.0,None,Minutes Risk,0,0
793,King,CRY,DEF,38,0.0,0.0,None,Minutes Risk,0,0
794,Alleyne,MCI,DEF,38,0.0,0.0,None,Minutes Risk,0,0
795,Howell,BHA,MID,38,0.0,0.0,None,Minutes Risk,0,0
796,Gallagher,TOT,MID,38,22.0,516.0,"Differential, Bonus Magnet",Minutes Monster,2,6
797,Furo,BRE,FWD,38,1.0,1.0,None,Minutes Risk,0,0
798,Imray,CRY,DEF,38,0.0,0.0,None,Minutes Risk,0,0
799,Stevens,BOU,MID,38,0.0,0.0,None,Minutes Risk,0,0
800,Jocelin.T,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
801,Tóth.A,BOU,MID,38,4.0,59.0,None,Minutes Risk,0,1
802,Lamadrid,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
803,Sharman-Lowe,CHE,GKP,38,0.0,0.0,None,Minutes Risk,0,0
804,Souza,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
805,Lucca,NFO,FWD,38,1.0,7.0,None,Minutes Risk,0,0
806,Mandas,BOU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
807,Rayan,BOU,MID,38,33.0,418.0,"Goal Machine, Clinical Finisher, Captaincy King, Bonus Magnet, Aerial Threat",,5,5
808,Abraham,AVL,FWD,38,7.0,79.0,None,Minutes Risk,0,1
809,Abbey,WOL,MID,38,1.0,16.0,None,Minutes Risk,0,0
810,Bentt,BRE,MID,38,0.0,0.0,None,Minutes Risk,0,0
811,Kyerematen,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
812,Ellborg,SUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
813,Angulo,SUN,MID,38,4.0,147.0,None,Minutes Risk,0,2
814,Netz,NFO,DEF,38,9.0,305.0,None,Minutes Risk,0,3
815,Disasi,WHU,DEF,38,22.0,534.0,"Budget Enabler, Bonus Magnet",Minutes Monster,2,6
816,Angel,WOL,MID,38,5.0,115.0,None,Minutes Risk,0,2
817,Armstrong,WOL,FWD,38,17.0,504.0,"Goal Machine, Metronome, Differential, Aerial Threat",,4,6
818,Wilson,TOT,FWD,38,0.0,0.0,None,Minutes Risk,0,0
819,Shield,BRE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
820,McMahon-Brown,BUR,MID,38,0.0,0.0,None,Minutes Risk,0,0
821,Whittaker,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
822,Jones,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
823,Stephenson,BRE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
824,McManus,BRE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
825,Herrick,WHU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
826,Owen,BRE,MID,38,0.0,0.0,None,Minutes Risk,0,0
827,Thwaites,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
828,Brooks,WOL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
829,Derry,CHE,MID,38,1.0,45.0,None,Minutes Risk,0,1
830,Wright,LIV,FWD,38,0.0,0.0,None,Minutes Risk,0,0
831,Gracey,WOL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
832,Ndiaye,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
833,Eboué,CHE,MID,38,0.0,0.0,None,Minutes Risk,0,0
834,Kavuma-McQueen,CHE,MID,38,0.0,0.0,None,Minutes Risk,0,0
835,Whitehall,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
836,Sinclair,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
837,Lienou,LEE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
838,Chadwick,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
839,Cresswell,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
840,Mheuka,CHE,FWD,38,1.0,1.0,None,Minutes Risk,0,0
841,Sillah,NFO,FWD,38,0.0,0.0,None,Minutes Risk,0,0
